StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Race,LGBTQIA,Identities,Citizen,Internat,Immig,Year,Rank Group_1,Rank Group_2,Rank Group_3,Rank Group_4,Rank PI_1,Rank PI_2,Rank PI_3,Rank PI_4,Rank Lab_1,Rank Lab_2,Rank Lab_3,Rank Lab_4,Y/N Discrim,P-D2,P-D3,P-D4,P-D5,P-B2,P-B3,P-B4,P-B5,P-M2,P-M3,P-M4,P-M5,Y/N OtherDiscrim,O-Q1,O-Q2,OtherFR,Actions,Ranked Covid_1,Ranked Covid_2,Ranked Covid_3,Ranked Covid_4,Ranked Covid_5,Ranked Covid_6,Ranked Covid_7,Ranked Covid2_1,Ranked Covid2_2,Ranked Covid2_3,Ranked Covid2_4,Ranked Covid2_5,Hours,Transportation,MH,Social,FreeRep Com
2020-10-08 16:17:43,2020-10-08 16:18:01,IP Address,2,17,False,2020-10-15 16:18:03,R_2zC0xKpdxy1sHIy,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-08 16:43:16,2020-10-08 16:45:14,IP Address,27,117,False,2020-10-15 16:45:19,R_2D0lAasKsToB7n9,anonymous,EN,Yes,No,No,No,Yes,Yes,5th Year,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-08 17:11:23,2020-10-08 17:12:53,IP Address,20,90,False,2020-10-15 17:13:36,R_3WurrsCUfiu4Ydr,anonymous,EN,Yes,No,Yes,Yes,No,No,5th Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-16 09:59:56,2020-10-16 10:06:55,IP Address,100,418,True,2020-10-16 10:06:55,R_1OxAi5dFaOMQUG3,anonymous,EN,No,No,Yes,No,No,No,5th Year,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,5-10hrs,Car,Yes,Maybe,
2020-10-08 15:53:58,2020-10-09 11:02:19,IP Address,20,68901,False,2020-10-16 11:02:26,R_29hspzDWCPvJMZq,anonymous,EN,Yes,No,No,No,Yes,No,4th Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-19 15:17:18,2020-10-19 15:25:49,IP Address,100,510,True,2020-10-19 15:25:49,R_3nUxIC7QOa8Ru61,anonymous,EN,No,No,No,Yes,No,No,4th Year,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,Microaggression,No,Do not know,,,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,0-5hrs,"Biking,Car",No,Yes,
2020-10-19 19:01:58,2020-10-19 19:05:48,IP Address,100,230,True,2020-10-19 19:05:48,R_2BlATZ0eAfQKMz5,anonymous,EN,No,No,Yes,Yes,No,No,5th Year,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,Microaggression,Do not know,Do not know,,,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,10-20hrs,"Biking,Car",Maybe,No,
2020-10-19 21:29:31,2020-10-19 21:42:45,IP Address,100,793,True,2020-10-19 21:42:45,R_1OxZh0plU72iyJd,anonymous,EN,No,Yes,No,Yes,No,No,3rd Year,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Microaggression,,,,,,,,,"Few times, faculty cycling through all the names of the other asian people in my cohort before reaching my name. ",No,,"Didn't feel like it warranted report. ",Microaggression,Do not know,Do not know,,,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,5-10hrs,"Biking,Car",No,Maybe,
2020-10-20 10:28:47,2020-10-20 10:37:46,IP Address,100,538,True,2020-10-20 10:37:46,R_1N7TNKOUJTDXI6I,anonymous,EN,No,No,No,Yes,No,No,2nd Year,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,,,,,,,,,,,,,,,,,,,Somewhat Agree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,10-20hrs,"Biking,Car",No,Maybe,
2020-10-20 16:05:47,2020-10-20 16:11:59,IP Address,100,372,True,2020-10-20 16:12:00,R_sjxkMaGY6FJvegx,anonymous,EN,Yes,Yes,Yes,Yes,No,No,4th Year,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,"Discrimination,Bias",Yes,No,"Often times when an issue with a faculty member is brought to the attention of another faculty member, the response is that there isn't much that can be done and that their hands are tied, which is disappointing. ",,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,10-20hrs,Car,Yes,Maybe,
2020-10-20 16:30:34,2020-10-20 16:35:14,IP Address,100,280,True,2020-10-20 16:35:14,R_31NP6f9xog8URPj,anonymous,EN,Yes,No,Yes,Yes,No,Yes,3rd Year,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,"Discrimination,Bias,Microaggression",Do not know,Yes,,,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,5-10hrs,Car,Yes,Yes,
2020-10-20 22:27:54,2020-10-20 22:35:50,IP Address,100,475,True,2020-10-20 22:35:51,R_1FK6PKLNmFGnkph,anonymous,EN,Yes,No,No,No,Yes,No,2nd Year,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,10-20hrs,"Biking,Car",Maybe,Maybe,
2020-10-20 22:57:44,2020-10-20 23:04:36,IP Address,100,412,True,2020-10-20 23:04:36,R_27vPxCVltxtjUp6,anonymous,EN,No,No,No,Yes,No,No,4th Year,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,"Discrimination,Microaggression",Do not know,Do not know,,,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,20-40hrs,"Biking,Car",No,Maybe,A potential idea could be playing video games together. I'm not sure how much interest there would be though.
2020-10-07 15:26:40,2020-10-14 12:53:06,IP Address,2,595586,False,2020-10-21 12:53:13,R_1oBiQ5UmqqQ0Lpm,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22 00:46:26,2020-10-22 00:52:39,IP Address,100,372,True,2020-10-22 00:52:39,R_31bK9mQaEbIZyCZ,anonymous,EN,No,No,No,Yes,No,Yes,6th+ Year,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,Microaggression,Yes,No,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,10-20hrs,"Car,Bus",Yes,Yes,
2020-10-22 02:03:26,2020-10-22 02:12:12,IP Address,100,525,True,2020-10-22 02:12:12,R_VPUJfThce6HppTj,anonymous,EN,Yes,No,No,Yes,No,No,6th+ Year,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,Bias,Do not know,Do not know,,,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,10-20hrs,"Car,Bus",Maybe,Yes,
2020-10-22 10:46:33,2020-10-22 10:49:47,IP Address,100,193,True,2020-10-22 10:49:47,R_pfusID9BA5VY1fX,anonymous,EN,No,No,Yes,No,No,Yes,2nd Year,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,,,,,,,,,,,,,,Bias,Do not know,Do not know,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,10-20hrs,Car,Yes,Yes,
2020-10-22 11:17:13,2020-10-22 11:28:07,IP Address,100,653,True,2020-10-22 11:28:07,R_1Ov21gieNwwYsrM,anonymous,EN,No,No,No,No,Yes,No,3rd Year,Strongly Agree,Strongly Agree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,20-40hrs,Walking,Maybe,Maybe,
2020-10-22 11:40:04,2020-10-22 11:43:03,IP Address,100,179,True,2020-10-22 11:43:03,R_2AKcxABhwFRstLl,anonymous,EN,No,Yes,No,Yes,No,No,3rd Year,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,,,,,,,,,,,,,,"Discrimination,Bias,Microaggression",Yes,No,,,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,0-5hrs,Car,,Yes,
2020-10-22 12:02:19,2020-10-22 12:05:08,IP Address,100,169,True,2020-10-22 12:05:09,R_3kccjIpDx9IAdPm,anonymous,EN,No,No,No,Yes,No,No,4th Year,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Bias,Microaggression",,,,,,No,,,,No,,,"Discrimination,Bias,Microaggression",Do not know,Do not know,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Prefer not to answer/Not applicable,20-40hrs,Car,No,Yes,
2020-10-22 12:05:18,2020-10-22 12:10:42,IP Address,100,323,True,2020-10-22 12:10:42,R_2cchCUWJ65W9Bwq,anonymous,EN,No,Yes,No,Yes,No,No,,Strongly Agree,Neither Agree nor Disagree,Prefer not to answer/Not applicable,Somewhat Agree,Somewhat Agree,Somewhat Agree,Prefer not to answer/Not applicable,Somewhat Agree,Strongly Agree,Strongly Agree,Prefer not to answer/Not applicable,Somewhat Agree,,,,,,,,,,,,,,,,,,,Prefer not to answer/Not applicable,Prefer not to answer/Not applicable,Prefer not to answer/Not applicable,Prefer not to answer/Not applicable,Strongly Agree,Strongly Agree,Prefer not to answer/Not applicable,Prefer not to answer/Not applicable,Prefer not to answer/Not applicable,Somewhat Agree,Strongly Agree,Strongly Agree,5-10hrs,"Biking,Car",No,Maybe,
2020-10-22 12:25:55,2020-10-22 12:29:33,IP Address,100,217,True,2020-10-22 12:29:33,R_26mzs6t6mCNy8LD,anonymous,EN,Yes,No,Yes,Yes,No,No,5th Year,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,"Discrimination,Bias,Microaggression",,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,10-20hrs,"Biking,Car",No,Yes,
2020-10-22 20:45:37,2020-10-22 20:48:26,IP Address,100,169,True,2020-10-22 20:48:26,R_2Pzegzo2lSbw7e3,anonymous,EN,Yes,No,Yes,No,No,Yes,2nd Year,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,0-5hrs,Biking,Yes,Yes,
2020-10-22 22:07:39,2020-10-22 22:16:33,IP Address,100,534,True,2020-10-22 22:16:33,R_RwSTzJ4qqdjw3q9,anonymous,EN,Yes,No,Yes,Yes,No,No,5th Year,Somewhat Disagree,Strongly Disagree,Strongly Disagree,,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,"Bias,Microaggression",No,No,,,Somewhat Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,10-20hrs,Car,Maybe,Maybe,
2020-10-23 12:14:27,2020-10-23 12:28:24,IP Address,100,837,True,2020-10-23 12:28:25,R_2v1dIafIsE0v79U,anonymous,EN,Yes,No,No,No,Yes,No,3rd Year,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Bias,,,,,,No,,I thought people might think that I am silly for bringing up such issues,,,,,,,,,,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,20-40hrs,Biking,Maybe,Yes,
2020-10-23 14:28:58,2020-10-23 14:33:49,IP Address,100,291,True,2020-10-23 14:33:51,R_3fDhHSbQOnRkWZN,anonymous,EN,No,No,No,Yes,No,No,6th+ Year,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Bias,,,,,"My PI consistently gave credit for my work to the older, more senior, male post doctoral student. ",No,,"I directly addressed this issue with my PI himself ",,,,,,,,,,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,5-10hrs,"Biking,Car",No,Maybe,
2020-10-23 16:11:04,2020-10-23 16:14:34,IP Address,100,210,True,2020-10-23 16:14:34,R_pxTBJh7g5HuSTzb,anonymous,EN,No,No,No,Yes,No,No,6th+ Year,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,,,,,,,,,,,,,,,,,,,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,10-20hrs,Walking,Yes,Maybe,
2020-10-23 16:23:20,2020-10-23 16:45:19,IP Address,100,1319,True,2020-10-23 16:45:20,R_2s1i0n9SMAQWZUC,anonymous,EN,No,No,No,No,Yes,No,4th Year,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Microaggression,,,,,,,,,"Single time in a conversation with a BMCDB faculty (I did not have another conversation with them), I am repeatedly told that my teaching experience in other countries will not be comparable to the experience in the US. ",No,,"I told the faculty that what they are telling me is not 'okay'. Microaggressions are in that gray area, many people do not even think that such behaviors inappropriate or discriminatory in some cases, so I did not attempt to report this incident.",Microaggression,Do not know,Do not know,,,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,10-20hrs,"Walking,Biking",Maybe,Maybe,
2020-10-24 10:46:31,2020-10-24 11:02:35,IP Address,100,964,True,2020-10-24 11:02:36,R_27DMvxzTlqgWC4V,anonymous,EN,No,No,No,Yes,No,No,6th+ Year,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,I think BMCDB has been an excellent place for grad students the entire time I've been in grad school. I have witnessed hiccups in the system but as a whole the grad group does it's best to support all students equally.,,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Prefer not to answer/Not applicable,10-20hrs,"Biking,Car",No,Maybe,
2020-10-19 14:43:52,2020-10-19 14:45:33,IP Address,20,101,False,2020-10-26 14:45:46,R_27pMr17BdM1jZ1M,anonymous,EN,No,No,Yes,Yes,No,No,2nd Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-19 15:01:12,2020-10-19 15:02:15,IP Address,20,62,False,2020-10-26 15:02:20,R_SIgbrnnkT79I5dD,anonymous,EN,No,No,No,Yes,No,No,2nd Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-19 16:35:40,2020-10-19 16:36:15,IP Address,2,34,False,2020-10-26 16:36:25,R_xD6KiaYx634am2d,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21 20:12:06,2020-10-21 20:17:27,IP Address,32,320,False,2020-10-28 20:17:39,R_2S1sNh4pIzrOqIx,anonymous,EN,Yes,No,No,Yes,No,No,5th Year,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Discrimination,Bias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22 10:49:26,2020-10-22 10:49:58,Spam,2,31,False,2020-10-29 13:32:53,R_9miuimvpjgCNmoN,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22 13:07:27,2020-10-22 13:09:04,IP Address,20,97,False,2020-10-29 13:37:57,R_AKvHf0JufzYVsrv,anonymous,EN,Yes,No,No,Yes,No,No,2nd Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22 12:43:38,2020-10-22 12:44:43,Spam,2,64,False,2020-10-29 13:52:50,R_2aWShF6xhTgYbXs,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22 10:49:13,2020-10-22 10:50:45,IP Address,2,91,False,2020-10-29 21:20:07,R_3kiEy23qo5ol4ye,anonymous,EN,Yes,Yes,No,Yes,No,No,5th Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-23 01:13:16,2020-10-23 01:15:48,IP Address,27,152,False,2020-10-30 01:16:24,R_2TNxrgDb5HvxWLx,anonymous,EN,Yes,,,Yes,,,2nd Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-28 11:09:48,2020-10-28 13:06:25,IP Address,43,6997,False,2020-11-04 12:06:33,R_9MoeX3FjLVO3PTH,anonymous,EN,Yes,No,Yes,Yes,No,No,6th+ Year,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,"Discrimination,Bias,Microaggression","My UCD email is a condensed version of my cultural name. My alternate email is my western name. When emailing professors for a first meeting (as in scheduling rotations or short meetings for advice on experiments within their specialties), guess which one garners responses? 
The effect is somewhat mitigated after a first conversation when there is at least a memory of me, but I am aware that my colleagues have had many more faculty invested in their success than I have had. Whether this is simply a mismatch of cultural norms or active discrimination is not the point - there are simply more opportunities for help if one looks or speaks a certain way. 
For more specificity, here are some examples.
Example 1: There was an instance where my PI and I accompanied a safety inspector's review of student signatures on documents. Upon noticing that I shared a last name with a lab member, she remarked ""Oh! Are you two related? You have the same last name!"" My PI, seeing me visibly perturbed, responds with a come-on-let-it-go face, ""Well, it's not a common name."" My surname is in fact a very common name. This would have been a prime opportunity for him to cure her of the ignorance by saying ""Well it's a common name in X culture"", because he had two students of the same ethnicity with the same name, but obviously not related. The question then becomes, ""well why didn't you say anything?"" to which I would respond that I simply should not have to in a mentor-mentee relationship. 
Example 2: 
My PI is for some reason very annoyed at not knowing that it is one of his student's birthdays and finds out on the day of. After one such occurrence, he proceeded to jokingly ask the only female student in the lab, ""You're supposed to keep track of these things."" 
Example 3: 
Just prior to the pandemic, a Chinese international student in the lab began wearing a mask. In a private meeting with me, my PI expressed hesitation in asking whether he had contracted COVID, because he ""sees a lot of them wearing masks anyway.""

",No,,"How could I have reported these events and not expected repercussions only towards myself? The power dynamic is so incredibly vast. The responsibility cannot be on the graduate student in the current system. Our very basic capability to live and eat is based on our PI's opinion of what we can provide to them. Persistent aversion to conflict on the part of faculty members completely destroys opportunities for open discussion and there is no incentive for that to change. For faculty, there are simply no meaningful repercussions, even in cases with egregious offense. 
Also, to whom would one even report? It took a very high-visibility national movement to spawn a BMCDB exploratory committee, emphasis on exploratory. From early Zoom meetings, it feels as if the onus is put back on the graduate students. The conversation boils down to ""We can't institute change because the rules say no, but you students go ahead and push for change because this is really your problem."" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
